ambient_temp,humidity,gas,voc,co,core_temp,light,ph,freshness
22.995977,94.87046,439.5839,339.94846,13.631665,21.582237,593.96027,5.205155,spoiled
22.999994,94.917145,439.6659,349.89905,16.807081,21.574957,583.02374,4.894491,spoiled
22.999962,94.91599,439.99326,349.00745,16.755083,21.581434,599.3915,4.785444,spoiled
22.999962,94.915184,439.78238,350.39264,16.453318,21.581404,547.70557,4.915491,spoiled
23.0,94.91755,440.0,350.77042,17.128008,21.513859,615.23785,4.5737514,spoiled
22.999998,94.91726,439.98584,350.26434,16.939875,21.55462,597.9768,4.7963157,spoiled
22.999994,94.91736,439.77933,350.38074,16.939827,21.557533,569.3404,5.1278243,spoiled
22.999788,94.90843,439.98608,350.03455,16.14544,21.592125,613.25903,5.255675,spoiled
22.999992,94.91733,439.98645,350.19974,16.987818,21.565718,594.5291,4.808197,spoiled
23.0,94.91755,440.0,350.76828,17.122663,21.580755,621.3219,4.586721,spoiled
22.960783,94.80472,439.84265,332.78015,13.178351,21.591982,605.93225,5.0778947,spoiled
22.99447,94.89626,439.5718,346.24286,15.898144,21.57178,580.7026,5.4040303,spoiled
23.0,94.91755,440.0,350.77045,17.129835,21.585148,627.28345,4.566767,spoiled
22.999985,94.91684,439.98807,350.3839,16.096333,21.578918,593.5766,4.9495664,spoiled
23.0,94.91755,439.9999,350.76965,17.12044,21.589306,612.9781,4.6294675,spoiled
23.0,94.91753,439.99945,350.7538,17.037773,21.58805,613.5165,4.7624435,spoiled
23.0,94.91755,439.99988,350.7698,17.112885,21.57832,606.3321,4.5995073,spoiled
22.973572,94.80823,436.239,332.73672,14.971271,21.592901,562.46814,5.1047125,spoiled
22.011633,93.33049,438.80173,327.31213,15.68747,21.589388,599.9908,5.4641356,spoiled
22.98137,94.81738,438.68515,329.70645,15.3688545,21.587872,572.51306,5.2575326,spoiled
22.999994,94.917145,439.9761,350.5588,17.037651,21.585497,601.55835,4.92667,spoiled
22.999844,94.913216,439.76923,348.05032,15.78445,21.590454,598.7845,5.14776,spoiled
23.0,94.91754,439.99664,350.70776,17.07639,21.565943,595.71735,4.6421385,spoiled
22.99959,94.91646,439.71973,349.0454,16.755266,21.574568,609.5107,5.0263844,spoiled
23.0,94.91753,439.99908,350.72476,16.968021,21.575102,607.669,4.669408,spoiled
22.999315,94.912605,439.99332,346.88586,15.553048,21.583523,616.51825,5.049924,spoiled
